year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,break_begin,break_end,total_break,break,world_reigns,ic_reigns,us_reigns
1988,1,8,Bret Hart,01:19:14,01:45:00,,Don Muraco,0,1,0,heel,,1,Jim Neidhart,0,0,0,0,0,,,,,0,0,,,,,,,
1988,2,2,Tito Santana,01:19:14,01:29:58,,"Bret Hart, Jim Neidhart",0,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,3,1,Butch Reed,01:21:22,01:24:39,,Jake Roberts,0,0,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,4,6,Jim Neidhart,01:23:04,01:42:10,,Hillbilly Jim,0,1,0,heel,,1,Bret Hart,0,0,0,0,0,,,,,0,0,,,,,,,
1988,5,10,Jake Roberts,01:24:35,01:46:28,,One Man Gang,1,1,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,6,4,Harley Race,01:26:07,01:36:10,,Don Muraco,0,0,0,heel,,0,0,0,0,0,0,1,,,,,0,0,,,,,,,
1988,7,5,Jim Brunzell,01:27:32,01:39:38,,Nikolai Volkov,1,0,0,face,,1,B. Brian Blair,0,0,0,0,0,,,,,0,0,,,,,,,
1988,8,7,Sam Houston,01:28:59,01:43:39,,Ron Bass,0,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,9,13,Danny Davis,01:30:34,01:48:25,,Hacksaw Jim Duggan,0,0,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,10,3,Boris Zhukov,01:32:02,01:34:35,,"Jake Roberts, Jim Brunzell",0,0,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,11,17,Don Muraco,01:34:11,01:50:27,,"One Man Gang, Dino Bravo",3,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,12,11,Nikolai Volkov,01:35:37,01:47:37,,Hacksaw Jim Duggan,1,0,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,13,20,Hacksaw Jim Duggan,01:37:54,01:52:38,,Winner,3,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,14,16,Ron Bass,01:39:01,01:49:15,,Don Muraco,2,0,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,15,9,B. Brian Blair,01:40:25,01:46:15,,One Man Gang,0,0,0,face,,1,Jim Brunzell,0,0,0,0,0,,,,,0,0,,,,,,,
1988,16,12,Hillbilly Jim,01:41:56,01:47:50,,One Man Gang,1,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,17,18,Dino Bravo,01:43:25,01:51:37,,One Man Gang,0,2,0,heel,,0,0,0,1,0,0,0,,,,,0,0,,,,,,,
1988,18,14,Ultimate Warrior,01:44:50,01:48:41,,"One Man Gang, Dino Bravo",0,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,19,19,One Man Gang/Akeem,01:45:49,01:52:38,,Hacksaw Jim Duggan,4,2,0,heel,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1988,20,15,Junkyard Dog,01:46:55,01:49:03,,Ron Bass,0,0,0,face,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,
1989,1,4,Ax,01:25:13,01:39:49,,Mr. Perfect,0,0,0,face,,1,Smash,0,0,,,0,,,,,0,,,,,,,,
1989,2,1,Smash,01:25:13,01:30:09,,Andre the Giant,0,0,0,face,,1,Ax,0,0,,,0,,,,,0,,,,,,,,
1989,3,5,Andre the Giant,01:27:59,01:41:54,,Andre the Giant,3,0,0,heel,,0,0,1,1,,,1,,,,,0,,,,,,,,
1989,4,11,Mr. Perfect,01:29:52,01:57:49,,Hulk Hogan,1,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,5,2,Ronnie Garvin,01:31:36,01:34:15,,Andre the Giant,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,6,8,Greg Valentine,01:33:42,01:53:35,,Randy Savage,0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,7,3,Jake Roberts,01:35:33,01:37:42,,Andre the Giant,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,8,7,Ron Bass,01:37:35,01:50:12,,"Marty Jannetty, Shawn Michaels",0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,9,9,Shawn Michaels,01:39:34,01:54:05,,"Arn Anderson, Randy Savage",0,1,0,face,,1,Marty Janetty,0,0,,,0,,,,,0,,,,,,,,
1989,10,13,Bushwhacker Butch,01:41:40,01:59:55,,"Hulk Hogan, Bad News Brown",0,1,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,11,6,The Honky Tonk Man,01:43:45,01:47:56,,"Bushwhacker Butch, Tito Santana",0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,12,12,Tito Santana,01:45:34,01:58:11,,"Arn Anderson, Randy Savage",0,0,0,face,,1,Rick Martel,0,0,,,0,,,,,0,,,,,,,,
1989,13,19,Bad News Brown,01:47:36,02:04:00,,Hulk Hogan,0,1,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,14,10,Marty Jannetty,01:49:34,01:57:26,,Tully Blanchard,0,1,0,face,,1,Shawn Michaels,0,0,,,0,,,,,0,,,,,,,,
1989,15,20,Randy Savage,01:51:34,02:04:00,,Hulk Hogan,1,2,0,face,,1,Hulk Hogan,0,0,,,1,,,,,0,,,,,,,,
1989,16,16,Arn Anderson,01:53:38,02:03:38,,Hulk Hogan,0,2,0,heel,,1,Tully Blanchard,0,0,,,0,,,,,0,,,,,,,,
1989,17,17,Tully Blanchard,01:55:37,02:03:38,,Hulk Hogan,1,0,0,heel,,1,Arn Anderson,0,0,,,0,,,,,0,,,,,,,,
1989,18,21,Hulk Hogan,01:57:37,02:09:09,,"Akeem, Big Boss Man",8,1,1,face,,1,Randy Savage,0,0,,,1,,,,,0,,,,,,,,
1989,19,15,Bushwhacker Luke,01:59:39,02:02:57,,Hulk Hogan,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,20,14,Koko B. Ware,02:01:37,02:02:44,,Hulk Hogan,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,21,18,The Warlord,02:03:53,02:03:55,,Hulk Hogan,0,0,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,22,22,Big Boss Man,02:05:53,02:10:11,,Hulk Hogan,0,1,0,heel,,1,Akeem,1,0,,,0,,,,,0,,,,,,,,
1989,23,28,One Man Gang/Akeem,02:07:46,02:28:16,,Big John Studd,1,1,0,heel,,1,Big Boss Man,0,0,,,0,,,,,0,,,,,,,,
1989,24,24,Brutus Beefcake,02:09:58,02:24:53,,"Ted DiBiase, The Barbarian",0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,25,23,The Red Rooster,02:11:40,02:22:56,,Ted DiBiase,0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,26,26,The Barbarian,02:13:50,02:26:05,,Rick Martel,0,2,0,heel,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,27,30,Big John Studd,02:16:04,02:30:19,,Winner,2,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,28,25,Hercules,02:17:41,02:24:53,,"Ted DiBiase, The Barbarian",0,0,0,face,,0,0,0,0,,,0,,,,,0,,,,,,,,
1989,29,27,Rick Martel,02:19:41,02:26:47,,Akeem,1,0,0,face,,1,Tito Santana,0,0,,,0,,,,,0,,,,,,,,
