,year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,Unnamed: 20,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,euro_champ,total_elim
0,1988,1,8,Bret Hart,0,1546,1546,Don Muraco,0,1,0,heel,,1.0,Jim Neidhart,0.0,0.0,1.0,1.0,0,,1546.0,1546.0,0.0,0.0,0.0,0.0,1
1,1988,2,2,Tito Santana,0,644,644,"Bret Hart, Jim Neidhart",0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,644.0,644.0,0.0,0.0,0.0,0.0,0
2,1988,3,1,Butch Reed,128,325,197,Jake Roberts,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,197.0,197.0,0.0,0.0,0.0,0.0,0
3,1988,4,6,Jim Neidhart,230,1376,1146,Hillbilly Jim,0,1,0,heel,,1.0,Bret Hart,0.0,0.0,1.0,1.0,0,,1146.0,1146.0,0.0,0.0,0.0,0.0,1
4,1988,5,10,Jake Roberts,321,1634,1313,One Man Gang,1,1,0,face,,0.0,0,0.0,0.0,2.0,2.0,0,,1313.0,1313.0,0.0,0.0,0.0,0.0,2
5,1988,6,4,Harley Race,413,1016,603,Don Muraco,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,1,,603.0,603.0,0.0,0.0,0.0,0.0,0
6,1988,7,5,Jim Brunzell,498,1224,726,Nikolai Volkov,1,0,0,face,,1.0,B. Brian Blair,0.0,0.0,1.0,1.0,0,,726.0,726.0,0.0,0.0,0.0,0.0,1
7,1988,8,7,Sam Houston,585,1465,880,Ron Bass,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,880.0,880.0,0.0,0.0,0.0,0.0,0
8,1988,9,13,Danny Davis,680,1751,1071,Hacksaw Jim Duggan,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,1071.0,1071.0,0.0,0.0,0.0,0.0,0
9,1988,10,3,Boris Zhukov,768,921,153,"Jake Roberts, Jim Brunzell",0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,153.0,153.0,0.0,0.0,0.0,0.0,0
10,1988,11,17,Don Muraco,897,1873,976,"One Man Gang, Dino Bravo",3,0,0,face,,0.0,0,0.0,0.0,3.0,3.0,0,,976.0,976.0,0.0,0.0,0.0,0.0,3
11,1988,12,11,Nikolai Volkov,983,1703,720,Hacksaw Jim Duggan,1,0,0,heel,,0.0,0,0.0,0.0,1.0,1.0,0,,720.0,720.0,0.0,0.0,0.0,0.0,1
12,1988,13,20,Hacksaw Jim Duggan,1120,2004,884,Winner,3,0,0,face,,0.0,0,0.0,0.0,3.0,3.0,0,,884.0,884.0,0.0,0.0,0.0,0.0,3
13,1988,14,16,Ron Bass,1187,1801,614,Don Muraco,2,0,0,heel,,0.0,0,0.0,0.0,2.0,2.0,0,,614.0,614.0,0.0,0.0,0.0,0.0,2
14,1988,15,9,B. Brian Blair,1271,1621,350,One Man Gang,0,0,0,face,,1.0,Jim Brunzell,0.0,0.0,0.0,0.0,0,,350.0,350.0,0.0,0.0,0.0,0.0,0
15,1988,16,12,Hillbilly Jim,1362,1716,354,One Man Gang,1,0,0,face,,0.0,0,0.0,0.0,1.0,1.0,0,,354.0,354.0,0.0,0.0,0.0,0.0,1
16,1988,17,18,Dino Bravo,1451,1943,492,One Man Gang,0,2,0,heel,,0.0,0,0.0,1.0,2.0,2.0,0,,492.0,492.0,0.0,0.0,0.0,0.0,2
17,1988,18,14,Ultimate Warrior,1536,1767,231,"One Man Gang, Dino Bravo",0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,231.0,231.0,0.0,0.0,0.0,0.0,0
18,1988,19,19,One Man Gang/Akeem,1595,2004,409,Hacksaw Jim Duggan,4,2,0,heel,,0.0,0,0.0,0.0,6.0,6.0,0,,409.0,409.0,0.0,0.0,0.0,0.0,6
19,1988,20,15,Junkyard Dog,1661,1789,128,Ron Bass,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,128.0,128.0,0.0,0.0,0.0,,0
20,1989,1,4,Ax,0,876,876,Mr. Perfect,0,0,0,face,,1.0,Smash,0.0,0.0,0.0,0.0,0,,876.0,876.0,0.0,0.0,,,0
21,1989,2,1,Smash,0,296,296,Andre the Giant,0,0,0,face,,1.0,Ax,0.0,0.0,0.0,0.0,0,,296.0,296.0,0.0,0.0,,,0
22,1989,3,5,Andre the Giant,166,1001,835,Andre the Giant,3,0,0,heel,,0.0,0,1.0,1.0,3.0,3.0,1,,835.0,835.0,0.0,0.0,,,3
23,1989,4,11,Mr. Perfect,279,1956,1677,Hulk Hogan,1,0,0,face,,0.0,0,0.0,0.0,1.0,1.0,0,,1677.0,1677.0,0.0,0.0,,,1
24,1989,5,2,Ronnie Garvin,383,542,159,Andre the Giant,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,159.0,159.0,0.0,0.0,,,0
25,1989,6,8,Greg Valentine,509,1702,1193,Randy Savage,0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,1193.0,1193.0,0.0,0.0,,,0
26,1989,7,3,Jake Roberts,620,749,129,Andre the Giant,0,0,0,face,,0.0,0,0.0,0.0,2.0,1.0,0,,1442.0,721.0,1.0,0.0,,,0
27,1989,8,7,Ron Bass,742,1499,757,"Marty Jannetty, Shawn Michaels",0,0,0,heel,,0.0,0,0.0,0.0,2.0,1.0,0,,1371.0,685.0,1.0,0.0,,,0
28,1989,9,9,Shawn Michaels,861,1732,871,"Arn Anderson, Randy Savage",0,1,0,face,,1.0,Marty Janetty,0.0,0.0,1.0,1.0,0,,871.0,871.0,0.0,0.0,,,1
29,1989,10,13,Bushwhacker Butch,987,2082,1095,"Hulk Hogan, Bad News Brown",0,1,0,face,,0.0,0,0.0,0.0,1.0,1.0,0,,1095.0,1095.0,0.0,0.0,,,1
30,1989,11,6,The Honky Tonk Man,1112,1363,251,"Bushwhacker Butch, Tito Santana",0,0,0,heel,,0.0,0,0.0,0.0,0.0,0.0,0,,251.0,251.0,0.0,0.0,,,0
31,1989,12,12,Tito Santana,1221,1978,757,"Arn Anderson, Randy Savage",0,0,0,face,,1.0,Rick Martel,0.0,0.0,0.0,0.0,0,,1401.0,700.0,1.0,0.0,,,0
32,1989,13,19,Bad News Brown,1343,2327,984,Hulk Hogan,0,1,0,heel,,0.0,0,0.0,0.0,1.0,1.0,0,,984.0,984.0,0.0,0.0,,,1
33,1989,14,10,Marty Jannetty,1461,1933,472,Tully Blanchard,0,1,0,face,,1.0,Shawn Michaels,0.0,0.0,1.0,1.0,0,,472.0,472.0,0.0,0.0,,,1
34,1989,15,20,Randy Savage,1581,2327,746,Hulk Hogan,1,2,0,face,,1.0,Hulk Hogan,0.0,0.0,3.0,3.0,1,,746.0,746.0,0.0,0.0,,,3
35,1989,16,16,Arn Anderson,1705,2305,600,Hulk Hogan,0,2,0,heel,,1.0,Tully Blanchard,0.0,0.0,2.0,2.0,0,,600.0,600.0,0.0,0.0,,,2
36,1989,17,17,Tully Blanchard,1824,2305,481,Hulk Hogan,1,0,0,heel,,1.0,Arn Anderson,0.0,0.0,1.0,1.0,0,,481.0,481.0,0.0,0.0,,,1
37,1989,18,21,Hulk Hogan,1944,2636,692,"Akeem, Big Boss Man",8,1,1,face,,1.0,Randy Savage,0.0,0.0,10.0,10.0,1,,692.0,692.0,0.0,0.0,,,10
38,1989,19,15,Bushwhacker Luke,2066,2264,198,Hulk Hogan,0,0,0,face,,0.0,0,0.0,0.0,0.0,0.0,0,,198.0,198.0,0.0,0.0,,,0
